Census District	Census Map Code	Race: Total	Race: Black	Race: White	Race: Mixed / Other	Race: Not Stated	Median Annual Household Income	Religion: Total	Religion: None	Religion: Anglican	Religion: Roman Catholic	Religion: AME	Religion: Non Denomination	Religion: Seventh Day Adventist	Religion: Other/ Not Stated	Status: Bermudian	Status: Non-Bermudian	Status: Not Stated	Health: Seeing Difficulties	Health: High Blood Pressure	Health: Asthma	Health: Arthritis	Health: Diabetes Type II	Health: Seeing Difficulties with Lenses	Health: Back Spine Problem	Health: Heart Condition	Health: Cancer	"Health: Stomach, Kidney, Liver"	Health: Diabetes Type I	Health: Hearing Difficulties	Health: Moving Mobility Difficulty	Health: Mental  Emotional disorder	Health: Other respiratory/Lung Problem	Health: Body Movement Difficulty	Health: No Limited use of Leg(s)	Health: Learning difficulties	Health: Speaking Difficulties	Health: Epilepsy	Health: Senility Alzheimers	Health: Gripping Holding Difficulty	Health: Learning Disabled	Health: Sickle-Cell Anemia	Health: Muscular Disease Impairment	Health: No/limited use of Arms	Health: Alcohol Dependency	Health: Behavioural Difficulty	Health: Lupus	Health: Drug Dependency	Health: Autism/PD	Health: Complete Blindness	Health: Complete Deafness	Health: Other Conditions	Health: Not Stated
CD511	5-11	170	133	1	35	1	"$76,000"	170	33	21	5	19	20	14	58	144	24	2	20	23	18	7	8	6	3	4	3	4	3	2	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	16	1
CD512	5-12	177	156	6	14	1	"$75,600"	177	47	23	18	18	11	9	51	161	16	0	24	25	20	4	9	5	3	7	2	1	2	1	8	3	2	2	6	1	1	1	0	2	3	1	0	2	1	0	1	0	0	1	0	13	1
CD513	5-13	216	160	22	33	1	"$66,667"	216	30	35	33	17	14	17	70	174	42	0	30	31	15	12	17	11	4	10	4	5	8	4	4	1	3	3	3	2	5	0	1	2	5	0	1	1	0	2	0	0	0	1	1	18	1
CD514	5-14	200	176	7	17	0	"$111,429"	200	38	26	6	23	15	15	77	189	11	0	19	31	26	3	6	8	5	8	4	2	4	1	1	1	2	3	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	9	1
CD515	5-15	171	147	2	22	0	"$78,000"	171	36	19	7	16	16	16	61	143	28	0	29	28	21	10	14	1	8	5	4	2	2	3	0	2	2	0	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	9	2
CD516	5-16	181	134	2	36	9	"$86,571"	181	35	15	25	27	18	8	53	138	43	0	15	25	6	9	12	11	7	7	1	1	3	1	5	4	2	3	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	12	1
CD517	5-17	194	139	19	34	2	"$98,000"	194	22	33	18	18	11	18	74	160	32	2	24	23	25	9	8	17	5	2	1	2	3	1	1	1	1	2	3	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	15	4
CD518	5-18	223	196	1	22	4	"$70,000"	223	78	11	9	24	5	19	77	200	23	0	4	10	14	3	3	1	2	3	0	0	5	2	1	1	0	1	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	5	2
CD519	5-19	180	162	1	16	1	"$75,000"	180	75	16	4	16	2	16	51	162	17	1	40	17	14	4	7	0	2	7	3	1	7	0	3	1	1	1	1	0	0	1	1	0	0	4	0	3	1	0	0	1	0	0	0	3	0
CD520	5-20	174	130	13	31	0	"$74,250"	174	21	17	23	13	12	21	67	144	30	0	30	20	14	5	6	3	9	4	4	3	5	1	2	2	0	2	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	8	3
CD521	5-21	129	100	8	21	0	"$82,000"	129	32	25	6	8	15	5	38	122	7	0	17	21	9	8	9	7	2	4	2	0	3	1	0	1	2	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0
CD522	5-22	179	77	78	24	0	"$66,000"	179	28	39	32	10	5	11	54	134	45	0	17	25	7	11	13	11	4	9	3	0	1	2	0	2	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0
CD523	5-23	16	13	2	1	0	"$78,000"	13	4	1	0	0	4	3	1	16	0	0	0	5	2	1	1	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD524	5-24	112	32	61	19	0	"$141,000"	105	38	24	19	0	6	3	15	56	56	0	13	9	2	3	5	3	0	1	3	0	2	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
CD525	5-25	144	94	3	46	1	"$52,200"	141	18	9	30	11	4	10	59	96	47	1	5	13	6	4	4	1	4	4	1	1	2	2	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	9	4
CD526	5-26	171	148	4	17	2	"$36,000"	158	82	6	13	16	7	5	29	143	27	1	7	12	5	4	6	11	2	3	1	1	3	0	4	5	1	3	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	4	2
CD527	5-27	176	138	6	31	1	"$58,286"	164	12	10	23	13	12	3	91	119	56	1	8	18	16	9	6	4	5	5	3	1	5	1	8	2	0	6	0	0	1	1	0	4	0	1	1	1	1	1	0	2	0	0	0	6	3
CD528	5-28	112	74	12	26	0	"$96,000"	86	12	3	11	6	6	7	41	86	26	0	14	8	5	4	4	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2
CD529	5-29	127	82	2	42	1	"$75,000"	122	21	4	37	17	3	4	36	81	46	0	1	10	5	2	5	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2
CD530	5-30	132	70	34	27	1	"$82,000"	127	24	11	38	7	13	8	26	85	46	1	36	16	13	10	2	0	6	6	2	1	5	2	0	3	0	1	4	1	0	1	0	2	0	0	0	0	0	0	2	0	1	0	0	9	1
CD531	5-31	42	13	23	6	0	"$189,857"	40	12	1	11	1	5	4	6	20	21	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
CD532	5-32	66	0	63	3	0	"$27,000"	66	12	18	18	0	0	2	16	57	9	0	3	12	3	4	3	0	0	9	3	1	1	1	1	0	4	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1
CD533	5-33	137	10	103	22	2	"$128,000"	137	36	26	30	3	2	3	37	70	66	1	19	10	1	3	2	6	4	3	4	0	4	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	8	3
CD534	5-34	178	27	101	50	0	"$126,000"	178	47	22	49	3	7	3	47	98	80	0	3	5	5	2	4	0	0	3	1	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
CD535	5-35	138	95	21	21	1	"$82,500"	138	29	21	19	8	28	7	26	120	18	0	20	27	14	8	10	3	5	10	6	2	3	2	0	0	2	2	2	0	0	2	0	2	3	1	0	0	1	0	0	0	1	0	0	9	1
CD536	5-36	217	125	56	32	4	"$97,000"	217	58	24	21	17	20	14	63	197	20	0	19	21	18	9	6	4	5	10	4	2	3	4	3	2	1	2	3	1	1	2	0	2	1	0	1	1	0	2	1	0	0	0	0	7	1
CD537	5-37	256	65	152	39	0	"$120,000"	256	50	65	50	10	25	8	48	178	78	0	78	37	17	28	16	8	23	15	10	8	0	6	5	6	3	5	6	2	2	1	2	4	0	0	3	4	4	2	0	1	1	1	0	14	3
CD538	5-38	236	119	71	45	1	"$109,263"	236	27	35	51	26	35	6	56	184	52	0	33	29	29	9	12	2	9	7	5	4	2	1	2	1	1	2	1	1	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	11	0
CD539	5-39	293	225	25	43	0	"$100,667"	293	55	27	30	40	22	11	108	232	61	0	35	26	24	10	13	4	13	4	2	2	5	3	5	1	0	2	4	3	4	0	1	1	6	1	0	0	1	5	0	0	0	0	1	13	1
CD540	5-40	183	142	12	29	0	"$90,000"	183	29	36	19	11	40	9	39	164	19	0	25	22	16	5	15	7	3	3	3	2	2	0	2	3	3	0	1	4	1	3	2	0	2	0	0	0	0	1	1	0	1	0	0	10	0
CD541	5-41	209	109	74	26	0	"$101,000"	209	25	60	39	11	8	12	54	157	52	0	19	29	23	13	11	12	3	8	7	3	8	5	5	2	1	5	1	3	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	14	1
CD542	5-42	199	149	24	25	1	"$100,800"	199	23	27	26	17	38	12	56	174	25	0	23	24	18	10	17	11	12	7	2	4	1	0	0	3	3	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	14	1
CD543	5-43	166	129	19	18	0	"$100,000"	166	40	22	9	21	10	13	51	127	39	0	26	25	9	8	9	6	5	6	3	0	1	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	9	2
CD544	5-44	191	132	30	27	2	"$110,000"	191	28	45	23	23	19	4	49	164	27	0	28	28	15	10	17	15	4	6	3	2	1	2	5	2	1	2	6	0	0	0	2	2	0	0	1	3	0	0	0	0	0	0	0	10	4
CD545	5-45	154	96	25	32	1	"$111,429"	154	35	32	16	26	6	4	35	134	20	0	21	21	10	7	10	1	8	6	3	3	3	0	3	1	0	1	0	2	2	1	1	1	1	0	0	1	1	1	2	1	1	0	1	9	4
CD546	5-46	223	119	70	32	2	"$111,429"	223	36	25	62	20	27	7	46	174	49	0	31	29	20	10	4	5	7	5	3	3	1	1	1	0	2	0	1	1	0	2	0	0	3	0	0	0	0	1	1	0	0	0	0	20	1
CD547	5-47	212	141	39	28	4	"$111,200"	212	36	59	28	22	12	16	39	194	18	0	40	30	14	8	13	5	6	10	3	1	1	0	4	2	0	0	0	2	1	1	0	1	1	0	1	0	0	0	0	0	2	0	0	11	0
CD548	5-48	211	98	79	33	1	"$88,500"	211	40	41	54	19	16	3	38	153	58	0	27	27	9	7	12	2	6	10	6	0	2	3	4	3	0	3	5	3	1	2	1	3	4	0	1	1	3	1	0	1	1	1	0	7	0
CD549	5-49	225	96	100	27	2	"$122,400"	225	34	39	53	9	8	11	71	187	38	0	29	30	17	14	11	13	5	13	6	8	9	2	3	3	3	4	1	0	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	12	1
CD550	5-50	205	51	124	28	2	"$124,800"	205	33	53	53	4	23	1	38	137	68	0	14	13	6	5	3	5	6	6	4	3	1	2	2	1	3	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	6	0
CD551	5-51	179	31	128	20	0	"$122,400"	179	26	40	42	13	7	6	45	148	31	0	26	20	7	12	3	8	5	8	7	6	3	7	3	1	2	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	16	6
CD552	5-52	189	22	121	46	0	"$105,000"	189	24	57	65	2	8	0	33	128	60	1	20	12	10	7	7	22	4	16	3	2	2	7	2	1	4	0	1	1	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	7	1
CD553	5-53	154	108	32	12	2	"$77,143"	154	26	22	16	21	10	3	56	128	26	0	23	21	14	5	14	8	6	4	5	0	0	2	4	1	1	2	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	15	2
CD554	5-54	175	55	82	38	0	"$84,000"	175	25	33	55	8	2	15	37	126	49	0	15	21	5	9	5	4	6	8	3	0	2	6	7	2	2	0	5	2	1	0	1	1	0	0	2	0	0	1	0	0	0	0	0	10	0
CD555	5-55	178	80	59	39	0	"$83,143"	178	35	18	35	12	19	14	45	137	41	0	28	15	14	4	7	8	5	5	1	3	0	3	5	1	2	0	1	1	1	0	0	0	2	2	1	0	1	0	1	0	0	0	0	13	1
CD556	5-56	174	6	133	28	7	"$135,000"	174	41	53	30	1	1	0	48	113	60	1	17	12	10	12	4	12	5	8	3	0	0	0	4	1	0	2	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	18	4
CD557	5-57	190	3	161	26	0	"$161,643"	190	51	61	48	3	5	1	21	98	92	0	12	16	10	8	2	34	6	5	3	3	2	4	4	1	2	1	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	14	3
CD558	5-58	180	7	147	25	1	"$130,286"	180	25	79	37	0	0	0	39	95	85	0	32	13	15	9	5	4	7	9	7	0	2	3	1	4	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	9	0
CD559	5-59	132	23	84	23	2	"$84,000"	132	38	31	28	4	14	5	12	90	41	1	19	13	11	7	6	9	4	8	5	1	3	3	3	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0
CD560	5-60	32	15	9	8	0	"$68,000"	32	1	9	8	2	4	3	5	18	13	1	3	4	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD561	5-61	283	87	134	60	2	"$109,333"	283	58	54	65	14	13	13	66	202	81	0	28	23	22	10	8	9	8	5	5	4	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	17	0
CD562	5-62	146	19	99	27	1	"$138,000"	146	38	35	32	3	5	3	30	100	46	0	22	17	9	18	3	15	4	13	4	2	2	8	2	2	2	2	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	13	0
CD563	5-63	116	5	98	13	0	"$156,000"	116	24	38	13	0	4	0	37	62	54	0	1	2	3	1	1	0	3	1	2	2	0	0	1	1	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3
CD601	6-01	411	169	148	89	5	"$107,077"	377	73	55	61	32	48	19	89	293	117	1	43	41	21	19	12	15	9	13	6	5	6	7	0	4	2	0	1	3	2	2	1	0	1	1	0	1	1	1	0	1	1	0	1	26	0
CD602	6-02	288	219	25	44	0	"$103,714"	284	12	53	28	30	52	27	82	247	41	0	81	38	29	18	18	3	11	8	3	3	2	2	1	2	1	0	3	1	0	0	4	0	1	0	1	0	0	1	1	1	0	0	0	26	3
CD603	6-03	231	60	144	26	1	"$126,857"	208	44	39	59	9	14	5	38	124	106	1	20	14	12	3	6	11	3	4	5	2	4	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	11	0
CD604	6-04	149	30	70	49	0	"$144,000"	149	17	11	55	7	6	9	44	43	106	0	47	12	6	7	0	0	2	1	1	3	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
CD605	6-05	156	28	91	35	2	"$90,000"	147	36	17	45	6	2	1	40	94	61	1	24	16	9	9	7	2	4	6	3	3	3	4	4	2	5	1	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	13	1
CD606	6-06	457	202	185	69	1	"$116,800"	443	82	79	60	39	37	20	126	347	110	0	48	37	24	13	19	7	10	17	5	4	2	6	4	6	3	1	2	8	3	0	3	1	1	2	1	2	1	0	1	1	0	0	0	25	6
CD607	6-07	244	179	32	30	3	"$109,200"	244	30	29	24	36	44	21	60	221	22	1	89	46	31	15	13	8	17	6	6	8	4	1	2	3	2	6	4	2	1	0	0	2	0	0	2	1	1	0	0	2	0	1	0	13	3
CD608	6-08	346	77	197	72	0	"$90,500"	344	48	73	68	9	24	27	95	220	125	1	37	40	25	21	16	11	14	13	3	8	2	3	5	1	4	2	1	2	1	3	1	0	0	2	0	0	1	0	1	1	0	0	0	10	0
CD609	6-09	294	30	239	25	0	"$188,917"	285	33	101	43	1	1	3	103	188	106	0	18	21	11	14	3	5	14	9	5	1	2	8	4	4	5	1	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0
CD610	6-10	204	12	179	9	4	"$178,219"	198	50	61	25	0	4	4	54	117	85	2	20	18	9	15	5	5	12	12	5	2	0	10	5	5	6	3	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0
CD611	6-11	156	16	127	12	1	"$106,000"	137	28	25	57	1	12	1	13	104	52	0	17	15	6	5	3	3	4	4	4	0	1	4	4	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0
CD612	6-12	223	74	107	41	1	"$145,091"	219	61	30	35	6	18	11	58	165	58	0	39	30	20	8	10	8	10	9	6	2	2	2	5	1	3	3	1	1	0	1	0	0	0	0	1	0	4	2	0	3	1	0	0	19	1
CD613	6-13	207	106	46	53	2	"$90,000"	185	15	33	32	9	15	14	67	159	47	1	43	27	15	15	5	11	15	10	4	2	0	8	2	1	4	2	2	1	3	1	1	2	1	4	1	1	1	0	2	0	0	0	0	16	1
CD614	6-14	254	32	203	19	0	"$120,000"	250	65	42	80	7	9	10	37	175	79	0	60	25	9	12	12	7	14	6	4	8	1	7	6	3	1	4	3	4	0	1	1	0	0	0	1	1	4	2	0	1	0	0	0	22	0
CD615	6-15	271	60	145	63	3	"$142,154"	262	49	34	102	8	8	13	48	164	107	0	37	34	20	10	6	5	19	5	5	11	4	5	2	0	4	0	1	1	0	0	0	0	0	4	1	0	1	0	1	0	0	0	0	18	1
CD616	6-16	200	38	92	62	8	"$58,000"	193	25	42	52	8	12	5	49	112	87	1	10	16	9	9	5	1	6	8	3	2	0	1	6	0	3	2	2	1	1	0	1	1	0	2	0	0	0	0	0	0	0	2	0	6	4
CD617	6-17	244	26	190	26	2	"$171,800"	229	53	63	53	7	4	0	49	133	111	0	40	23	11	14	5	5	9	8	9	2	1	3	2	0	5	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	14	0
CD618	6-18	130	18	92	19	1	"$136,800"	129	67	26	22	1	5	0	8	75	52	3	33	13	15	9	5	1	7	4	1	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
CD619	6-19	237	22	194	21	0	"$183,979"	233	53	57	48	0	17	2	56	156	79	2	38	25	18	10	5	6	12	9	3	4	0	7	2	3	0	1	2	3	1	2	1	0	0	0	0	0	1	0	1	0	0	0	0	24	0
CD620	6-20	201	34	123	41	3	"$156,000"	198	51	39	61	1	6	0	40	116	82	3	32	17	15	11	2	9	10	5	5	2	1	6	2	3	1	2	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	1
CD621	6-21	264	32	189	36	7	"$183,882"	254	52	70	59	1	12	8	52	175	89	0	24	22	14	12	9	6	14	7	5	4	0	2	2	2	5	1	4	2	1	0	1	2	0	0	1	2	2	0	0	1	0	0	0	10	3
CD622	6-22	164	27	108	29	0	"$132,000"	154	27	31	30	1	13	4	48	105	57	2	24	24	8	13	6	4	11	12	4	3	3	4	4	3	2	2	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	12	3
CD623	6-23	183	44	101	37	1	"$92,571"	181	29	31	41	6	19	10	45	113	69	1	23	18	13	6	10	6	8	2	1	7	1	3	2	3	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0
CD624	6-24	188	29	132	20	7	"$111,273"	182	45	38	32	7	12	4	44	136	52	0	34	30	13	24	13	2	20	12	5	8	2	3	6	2	3	4	4	6	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	14	1
CD701	7-01	340	261	45	33	1	"$102,000"	340	47	39	30	39	36	39	110	284	54	2	113	61	25	14	16	13	11	9	3	6	4	3	6	9	1	3	0	2	0	1	0	2	0	1	1	0	0	0	1	2	0	2	0	24	1
CD702	7-02	412	170	175	67	0	"$122,667"	412	58	62	89	42	30	23	108	298	114	0	27	62	36	17	15	5	19	10	10	5	11	5	4	4	1	2	1	2	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	38	0
CD703	7-03	457	322	85	49	1	"$110,897"	457	87	49	48	38	61	70	104	357	99	1	104	60	36	24	17	11	26	16	5	13	3	3	6	10	11	5	7	2	0	2	0	2	3	3	2	0	0	0	2	2	1	0	0	33	0
CD704	7-04	375	236	91	46	2	"$120,000"	375	84	73	38	41	25	52	62	297	78	0	81	39	36	15	14	20	14	9	5	4	3	2	1	3	2	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	16	2
CD705	7-05	349	274	20	53	2	"$83,455"	349	65	32	24	44	41	52	91	301	48	0	49	43	24	17	16	25	21	11	8	6	5	2	7	2	2	1	2	1	2	1	3	0	4	0	0	0	0	2	0	0	0	1	1	22	2
CD706	7-06	336	202	69	62	3	"$88,500"	336	69	26	42	16	28	40	115	260	76	0	38	43	31	20	18	9	9	12	5	4	3	2	3	3	1	1	4	0	4	1	3	1	2	1	1	0	0	0	1	0	0	1	0	19	1
CD707	7-07	460	339	76	44	1	"$108,000"	460	91	71	46	47	57	48	100	400	60	0	48	61	57	23	21	8	26	11	10	11	9	5	12	6	7	10	5	5	0	3	0	0	1	6	3	1	1	3	3	3	0	0	0	17	0
CD708	7-08	421	257	118	46	0	"$117,714"	421	83	79	53	44	44	23	95	328	93	0	50	54	35	13	28	13	12	10	9	5	3	1	1	5	6	1	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	21	6
CD709	7-09	352	126	170	55	1	"$115,200"	352	45	71	67	31	28	19	91	251	101	0	10	36	22	14	10	5	9	13	6	2	0	3	3	2	0	3	0	1	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	25	2
CD710	7-10	238	112	95	31	0	"$91,000"	238	54	37	44	3	15	15	70	152	86	0	5	22	24	8	8	1	10	8	3	3	3	3	2	2	3	2	1	1	2	1	1	1	0	0	0	0	0	0	2	0	0	1	0	8	1
CD711	7-11	285	144	109	32	0	"$122,769"	285	46	55	41	22	25	30	66	224	60	1	22	31	12	9	14	2	9	4	3	5	2	2	0	1	1	2	1	2	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	14	1
CD712	7-12	243	162	43	33	5	"$105,600"	243	43	31	26	32	15	38	58	189	52	2	56	24	23	14	7	12	14	7	1	4	3	3	3	4	2	0	2	3	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	9	0
CD713	7-13	247	175	45	26	1	"$111,200"	247	45	27	25	17	32	25	76	219	27	1	13	33	30	13	14	6	9	9	3	2	4	4	3	2	1	3	2	1	2	2	0	1	0	1	1	1	0	1	0	0	1	0	0	7	0
CD714	7-14	270	199	53	18	0	"$89,333"	270	43	18	43	39	52	19	56	225	45	0	74	44	32	13	12	4	17	11	2	6	2	2	2	2	5	4	1	2	3	1	1	2	1	3	0	0	0	0	1	0	2	0	0	24	1
CD715	7-15	412	274	73	65	0	"$98,727"	412	41	45	85	43	40	64	94	326	86	0	100	58	35	13	17	17	13	11	5	6	3	6	3	5	4	3	0	2	1	1	1	0	0	2	3	0	2	0	0	2	0	1	0	44	1
CD716	7-16	306	209	45	52	0	"$93,273"	306	41	33	48	32	31	44	77	238	68	0	72	45	34	20	18	4	16	12	8	3	8	2	7	4	1	1	0	2	4	2	1	1	0	2	0	0	1	0	0	1	1	0	0	17	1
CD717	7-17	144	15	113	13	3	"$163,900"	144	47	33	27	7	3	4	23	91	51	2	6	9	6	6	6	6	5	6	6	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4
CD718	7-18	276	138	84	54	0	"$132,000"	276	102	20	57	21	16	16	44	179	97	0	28	24	19	10	4	1	8	7	0	1	2	3	1	1	3	3	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	6	0
CD719	7-19	109	17	69	23	0	"$120,000"	109	3	17	45	0	15	5	24	52	56	1	12	10	4	3	1	7	4	2	3	3	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0
CD720	7-20	340	43	269	23	5	"$194,226"	340	92	92	72	2	11	3	68	170	170	0	92	31	11	13	4	16	11	16	14	4	4	9	6	3	4	2	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	11	3
CD721	7-21	300	220	39	34	7	"$96,000"	300	53	46	24	46	20	23	88	269	30	1	66	33	25	8	18	11	12	8	4	8	3	4	2	3	1	2	2	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	28	2
CD722	7-22	225	175	22	28	0	"$84,000"	225	43	44	33	16	9	17	63	187	38	0	31	42	14	18	14	3	10	8	7	2	2	1	7	2	2	3	1	2	0	1	3	2	0	1	3	1	0	0	0	0	0	0	1	9	5
CD723	7-23	281	228	11	42	0	"$89,143"	281	53	44	8	31	23	54	68	255	26	0	40	49	21	18	13	2	7	11	1	7	4	2	2	3	2	0	2	1	1	0	0	0	0	0	0	0	2	0	3	3	0	0	0	24	1
CD724	7-24	283	223	20	39	1	"$84,750"	283	54	26	25	21	17	43	97	236	47	0	32	39	20	9	17	3	6	7	5	4	2	1	3	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	8	1
CD725	7-25	241	113	79	49	0	"$118,400"	241	35	28	49	16	9	24	80	194	45	2	11	26	24	20	6	4	7	6	2	1	6	4	3	3	2	3	1	2	2	1	1	1	2	1	1	0	0	0	0	1	0	0	0	8	0
CD726	7-26	218	105	69	37	7	"$151,000"	218	60	26	30	12	19	6	65	160	57	1	9	24	19	13	8	3	10	11	4	1	2	2	3	3	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	12	3
CD727	7-27	279	38	198	39	4	"$153,000"	279	73	77	56	3	6	7	57	198	81	0	21	24	24	14	3	1	9	11	4	5	1	7	3	7	4	1	1	2	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	19	4
CD728	7-28	179	33	115	31	0	"$115,200"	179	50	38	29	4	13	6	39	140	39	0	24	18	5	10	3	2	4	8	5	2	3	0	3	4	0	2	3	2	5	1	0	0	1	1	0	2	0	0	0	0	0	0	1	10	1
CD729	7-29	237	54	150	29	4	"$139,200"	237	60	45	56	14	4	2	56	174	61	2	15	22	17	17	4	41	7	12	7	7	4	4	6	5	3	1	1	1	0	1	2	0	1	1	0	0	0	0	0	0	0	1	0	18	5
CD801	8-01	294	158	89	43	4	"$87,818"	294	5	51	55	39	14	39	91	220	71	3	11	41	23	9	10	6	7	8	7	3	8	7	4	1	1	5	3	1	0	0	2	2	0	2	1	1	0	0	1	0	0	1	0	14	0
CD802	8-02	368	223	105	40	0	"$127,333"	349	50	59	34	45	42	32	87	298	69	1	66	38	30	15	20	10	9	16	5	5	3	4	2	4	2	3	1	3	1	1	1	0	0	0	0	0	0	2	0	3	0	1	0	31	4
CD803	8-03	403	237	119	42	5	"$104,727"	371	71	65	29	36	49	16	105	366	36	1	19	53	19	15	20	4	9	8	5	1	1	4	3	0	2	3	0	1	1	0	3	2	1	0	2	1	0	0	1	0	0	0	0	22	1
CD804	8-04	466	203	159	102	2	"$98,667"	419	83	48	88	35	40	22	103	341	123	2	58	41	27	13	3	12	13	6	3	7	6	5	8	1	1	3	2	1	3	1	2	2	1	1	0	1	0	0	1	0	0	1	0	28	0
CD805	8-05	196	42	122	32	0	"$150,000"	188	36	47	33	1	4	26	41	129	67	0	68	19	16	12	6	5	7	15	3	3	2	4	2	1	0	3	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	21	0
CD806	8-06	410	295	51	64	0	"$82,333"	402	85	64	47	47	19	19	121	347	63	0	31	58	25	23	12	2	15	11	5	3	6	3	4	1	2	4	1	1	0	1	1	3	1	1	1	1	0	0	2	0	0	0	0	15	3
CD807	8-07	379	101	238	35	5	"$130,667"	379	12	108	75	12	26	17	129	267	112	0	13	45	20	22	13	3	16	21	13	7	3	8	8	1	4	1	2	3	1	0	0	2	1	0	0	1	1	0	1	1	1	0	0	9	0
CD808	8-08	345	146	136	59	4	"$136,000"	334	65	86	46	21	31	18	67	248	96	1	31	39	30	22	12	11	17	8	12	3	2	4	1	4	4	2	1	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	17	3
